,ncratio,nspeed
302,-0.2606960153995933,-0.21545922841725182
309,-0.3508197391816456,-0.9156376572577581
310,-0.2429989932751176,-0.07699110629580841
313,-0.35639102392453614,-0.6831157163368438
317,-0.3547524107648624,-0.8137460202249979
321,-0.3137870817730205,-0.6883409284923698
325,-0.3128039138772163,-0.6674400798702652
326,-0.16369011634691155,0.47688138218996523
329,-0.31214846861334683,-0.659602261636976
330,-0.1826980289991262,0.38021495731273114
333,-0.31116530071754256,-0.6805031102590806
334,-0.03850007094784255,1.1404833259417884
337,-0.3436098412790814,-0.8921242025578904
341,-0.3383662791681256,-0.8895115964801273
342,-0.1826980289991262,0.2939989567465494
345,-0.35245835234131934,-0.7797821412140777
346,-0.29182966543339317,-0.5368097759821111
349,-0.3419712281194078,-0.8659981417802596
353,-0.3521306297093845,-0.847709899235918
354,-0.28035937331567745,-0.33825171407211674
357,-0.3547524107648624,-0.7902325655251301
358,-0.28593065805856793,-0.42708032071606156
361,-0.35639102392453614,-0.7014039588811853
362,-0.30166134439143527,-0.5786114732263203
365,-0.35376924286905825,-0.850322505313681
366,-0.26790591330215746,-0.24158528919488265
369,-0.35508013339679717,-0.8450972931581548
373,-0.35376924286905825,-0.8659981417802596
374,-0.22825147483805447,0.08237786444773966
377,-0.35639102392453614,-0.6648274737925022
378,-0.28068709594761215,-0.3852786234718522
381,-0.3554078560287319,-0.7902325655251301
382,-0.2682336359340922,-0.30428783506119667
385,-0.31968608914784574,-0.7536560804364469
386,-0.1863029779504083,0.33318804791299567
389,-0.32066925704364996,-0.7797821412140777
390,-0.18302575163106094,0.30183677497983863
393,-0.31149302334947737,-0.6569896555592128
394,-0.02866839198980046,1.1770598110304715
397,-0.3088712422939994,-0.6360888069371082
398,0.040153360716494016,1.412194358029149
401,-0.34754251286229826,-0.9522141423464413
405,-0.3455761770706898,-0.9365385058798628
406,-0.20957128481777454,0.10589131914760741
409,-0.3554078560287319,-0.7850073533696039
410,-0.30952668755786894,-0.693566140647896
413,-0.34918112602197193,-0.9025746268689427
417,-0.3518029070774498,-0.8947368086356534
421,-0.35508013339679717,-0.8215838384582871
422,-0.28920788437791534,-0.5368097759821111
425,-0.35639102392453614,-0.6883409284923698
426,-0.313131636509151,-0.7484308682809208
429,-0.35639102392453614,-0.7196922014255269
430,-0.3128039138772163,-0.7196922014255269
433,-0.3508197391816456,-0.9992410517461768
437,-0.3547524107648624,-0.8372594749248656
438,-0.27675442436439535,-0.42708032071606156
441,-0.35639102392453614,-0.6387014130148713
442,-0.30559401597465213,-0.6726652920257914
445,-0.35639102392453614,-0.7327552318143423
446,-0.2865861033224374,-0.4897828665823756
449,-0.31214846861334683,-0.6648274737925022
450,-0.2384108764280313,0.017062712503662585
453,-0.3170643080923678,-0.7196922014255269
454,-0.19121881742942934,0.3175124114464172
457,-0.30821579703012997,-0.6465392312481606
461,-0.31083757808560786,-0.6778905041813176
465,-0.3518029070774498,-0.8581603235469702
466,-0.2787207601560038,-0.3748281991607999
469,-0.347870235494233,-0.9496015362686782
470,-0.2800316506837427,-0.3905038356273784
473,-0.3547524107648624,-0.7797821412140777
474,-0.3052662933427173,-0.6256383826260559
477,-0.3504920165497109,-0.879061172169075
478,-0.2705276943576354,-0.3016752289834336
481,-0.35508013339679717,-0.7196922014255269
482,-0.29150194280145847,-0.4741072301157971
485,-0.3560633012926014,-0.7170795953477638
486,-0.28953560700985004,-0.4819450483490863
